K,Time,ARI,AMI,algo,dataset,N,M,TrueK,id,index,distance,agg
6.0,3.9335375830000006,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_33,euclidean,mean
5.0,3.978224895000001,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,10,calinski_harabasz,euclidean,mean
10.0,3.9761022320000006,0.49810489172346706,0.5968796608510075,kmeans,ecoli,336,6,8,10,hartigan,euclidean,mean
6.0,3.9754670130000003,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,wb_index,euclidean,mean
30.0,3.976614809000001,0.2153799815378827,0.40042357928889527,kmeans,ecoli,336,6,8,10,xu_index,euclidean,mean
3.0,3.933606965,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,10,elbow_11,euclidean,amin
6.0,3.933495777,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_22,euclidean,amin
5.0,3.9334912810000002,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,10,elbow_12,euclidean,amin
6.0,3.9334857360000006,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,10,elbow_21,euclidean,amin
5.0,3.9334866020000003,0.6959201014073202,0.5875022188600615,kmeans,ecoli,336,6,8,10,elbow_33,euclidean,amin
3.0,3.9761615290000005,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,10,calinski_harabasz,euclidean,amax
3.0,3.976620115000001,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,10,hartigan,euclidean,amin
3.0,3.976302659000001,0.42161894261648103,0.3722415390509796,kmeans,ecoli,336,6,8,10,wb_index,euclidean,amin
15.0,3.9772519190000013,0.3420915337732494,0.4813065965270145,kmeans,ecoli,336,6,8,10,xu_index,euclidean,amin
2.0,7.362684843000001,0.03797812133245865,0.061101009977425846,kmeans,ecoli,336,6,8,10,silhouette,-,wss_min
4.0,4.239121256000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_11,conventional,mean
4.0,4.23880001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_22,conventional,mean
4.0,4.238802483000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_12,conventional,mean
4.0,4.238791324000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_21,conventional,mean
5.0,4.238790875,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,10,elbow_33,conventional,mean
4.0,4.284202390000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,calinski_harabasz,conventional,mean
19.0,4.282358873000001,0.24983513752446676,0.436459116713856,rswap,ecoli,336,6,8,10,hartigan,conventional,mean
4.0,4.283075757000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,wb_index,conventional,mean
30.0,4.283278157000001,0.1639802670184867,0.3828337271850042,rswap,ecoli,336,6,8,10,xu_index,conventional,mean
4.0,4.238808805000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_11,conventional,amin
4.0,4.238785015,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_22,conventional,amin
4.0,4.238784084000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_12,conventional,amin
4.0,4.238779322,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_21,conventional,amin
5.0,4.238805491,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,10,elbow_33,conventional,amin
4.0,4.283138761000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,calinski_harabasz,conventional,amax
20.0,4.280701824,0.23322906282717795,0.42174611962762826,rswap,ecoli,336,6,8,10,hartigan,conventional,amin
4.0,4.2861193150000005,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,wb_index,conventional,amin
30.0,4.283328752000001,0.1639802670184867,0.3828337271850042,rswap,ecoli,336,6,8,10,xu_index,conventional,amin
3.0,4.05908665,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,10,elbow_11,euclidean,mean
4.0,4.058985715000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_22,euclidean,mean
3.0,4.0589774950000015,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,10,elbow_12,euclidean,mean
4.0,4.058970581000001,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_21,euclidean,mean
5.0,4.058971034,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,10,elbow_33,euclidean,mean
2.0,4.096871205,0.37914664275934495,0.3036394013608832,rswap,ecoli,336,6,8,10,calinski_harabasz,euclidean,mean
8.0,4.0865628460000005,0.4118559864729041,0.5399557420442851,rswap,ecoli,336,6,8,10,hartigan,euclidean,mean
3.0,4.084801444000001,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,10,wb_index,euclidean,mean
8.0,4.095555776,0.4118559864729041,0.5399557420442851,rswap,ecoli,336,6,8,10,xu_index,euclidean,mean
3.0,4.05898671,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,10,elbow_11,euclidean,amin
4.0,4.058967557000002,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_22,euclidean,amin
3.0,4.058964049999999,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,10,elbow_12,euclidean,amin
4.0,4.0589619400000005,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,elbow_21,euclidean,amin
5.0,4.058962774,0.6965768137925293,0.6217340314808462,rswap,ecoli,336,6,8,10,elbow_33,euclidean,amin
2.0,4.102398788000001,0.37914664275934495,0.3036394013608832,rswap,ecoli,336,6,8,10,calinski_harabasz,euclidean,amax
9.0,4.102440314000002,0.3443381234289179,0.49012339634562857,rswap,ecoli,336,6,8,10,hartigan,euclidean,amin
3.0,4.102516819999999,0.6767697357152568,0.5463552064285666,rswap,ecoli,336,6,8,10,wb_index,euclidean,amin
30.0,4.1027288319999995,0.1639802670184867,0.3828337271850042,rswap,ecoli,336,6,8,10,xu_index,euclidean,amin
4.0,6.342929861999999,0.6956804468732476,0.583844497606729,rswap,ecoli,336,6,8,10,silhouette,-,wss_min
6.0,3.5421317750000005,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_11,conventional,mean
6.0,3.5420545150000002,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_22,conventional,mean
6.0,3.542053028,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_12,conventional,mean
6.0,3.5420482790000003,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_21,conventional,mean
6.0,3.542043731,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,elbow_33,conventional,mean
6.0,3.586684722,0.6844527887064294,0.6170149702147076,kmeans,ecoli,336,6,8,100,calinski_harabasz,conventional,mean
